epoch,lr,trainLoss,trainSteeringMAE,trainEyMAE,trainEyWeightSum,valLoss,valSteeringMAE,valEyMAE,valEyWeightSum
1,4.99229333433282e-05,0.04161738204336764,0.11304598575080349,0.0857911616333742,1751.0000200271606,0.09454383800683547,0.18489114858982642,0.07703430293086161,375.4000012874603
2,4.9692208514878444e-05,0.024469784773274213,0.07840428189757001,0.07966259180725309,1751.000018119812,0.05678762805522117,0.13568977804720297,0.0724056224074905,375.4000012874603
3,4.9309248009941914e-05,0.017436082117307225,0.06357210319834539,0.07589458778073913,1751.000023841858,0.0775485952707623,0.16402059259230306,0.07349966153040541,375.4000012874603
4,4.8776412907378836e-05,0.014380664041984514,0.05739781229048631,0.07303616646044109,1751.0000257492065,0.05746024644071063,0.1342757540396521,0.0741663295564094,375.4000012874603
5,4.809698831278216e-05,0.010448750542208675,0.0514990239774004,0.07083792251423789,1751.0000114440918,0.05987402590921374,0.1329360927450217,0.07721516809633588,375.4000012874603
6,4.7275163104709186e-05,0.007990425774377027,0.0450161008701885,0.06849227542606183,1751.0000276565552,0.05541132642602735,0.12793217020629788,0.07709319054140253,375.4000012874603
7,4.63160041088523e-05,0.008578172164457516,0.04527484263435916,0.0673574115507952,1751.0000095367432,0.04779549651682665,0.11771632856664842,0.0755717534883723,375.4000012874603
8,4.522542485937368e-05,0.006719443594848073,0.04179685933974423,0.06510778492982675,1751.000018119812,0.049749091814880984,0.1214564783868555,0.0773647169275686,375.4000012874603
9,4.401014914000077e-05,0.005701932015747376,0.0370411355084913,0.06446220744589976,1751.0000257492065,0.05182246606009693,0.12480757978658057,0.07679523456033503,375.4000012874603
10,4.267766952966368e-05,0.0044388808915356475,0.03466855545374533,0.06340205235715053,1751.0000267028809,0.049173318596617346,0.11913675355261784,0.07532170176332202,375.4000012874603
11,4.123620120825459e-05,0.004648786068338825,0.0334697223374425,0.06188609837690096,1751.0000200271606,0.07671895248161527,0.15086469816302583,0.07865602876779143,375.4000012874603
12,3.969463130731182e-05,0.007136777545498809,0.037645634620281296,0.06009096051624034,1751.0000104904175,0.0450921076084348,0.11413605385484511,0.07568424098042338,375.4000012874603
13,3.806246411789871e-05,0.00319759729132337,0.03188381492866999,0.058631205512901095,1751.0000162124634,0.05805993572193376,0.12998177569444652,0.07551568935810109,375.4000012874603
14,3.634976249348866e-05,0.006166563524261746,0.0348871538826821,0.05930012108883271,1751.0000190734863,0.05803932535694503,0.1276020895303448,0.07703227853230465,375.4000012874603
15,3.4567085809127236e-05,0.004769124243757249,0.03361550543931704,0.0569220467692826,1751.0000228881836,0.04912297917151028,0.12021115293926012,0.07750082240278412,375.4000012874603
16,3.272542485937368e-05,0.0033581051907060665,0.030110134860358923,0.056896653436101445,1751.0000276565552,0.048121992145707546,0.11811458294546667,0.07713394740030284,375.4000012874603
17,3.083613409639763e-05,0.003862121314218811,0.03016843891000065,0.05722841683481898,1751.0000171661377,0.044707455435810325,0.11078547957387666,0.07862011319849893,375.4000012874603
18,2.8910861626005762e-05,0.0023429238671870633,0.027825948330991324,0.054629751801310626,1751.0000162124634,0.04355736273694424,0.10820193853235831,0.07975311445175819,375.4000012874603
19,2.6961477393196116e-05,0.0025834913640833982,0.02848436340364012,0.055182675501680774,1751.0000267028809,0.04424147216786478,0.10961161710989706,0.07930508198592821,375.4000012874603
20,2.499999999999999e-05,0.0024028637859838387,0.02718162122263258,0.053162607989065545,1751.0000314712524,0.0428106696181235,0.10765802145318533,0.07884129033152006,375.4000012874603
21,2.303852260680387e-05,0.002441131432113303,0.026901398418357522,0.05360813965375577,1751.0000228881836,0.04378862818621217,0.10814076562547935,0.07804316735011495,375.4000012874603
22,2.1089138373994227e-05,0.0022460956852139165,0.026581033547749263,0.05251429809137071,1751.000020980835,0.04468367713330042,0.10830432077074302,0.07777740359306463,375.4000012874603
23,1.916386590360236e-05,0.002061153938902574,0.025934421710709296,0.05265157715548754,1751.0000276565552,0.04398279221931404,0.10766536055005078,0.07812226195133411,375.4000012874603
24,1.7274575140626308e-05,0.0020020135307085183,0.02562367121079135,0.051454346329222286,1751.0000219345093,0.0448001573271051,0.1089510659708499,0.07743106139034701,375.4000012874603
25,1.543291419087275e-05,0.0020528891223490506,0.025580318780796998,0.05177787709299525,1751.0000286102295,0.043955622753414844,0.10644303037014075,0.07726195615456052,375.4000012874603
26,1.3650237506511325e-05,0.00207013258060964,0.025680504947024892,0.05008744396444557,1751.0000305175781,0.04324063822432292,0.1058403659736335,0.07784758115527542,375.4000012874603
27,1.1937535882101275e-05,0.0020470881481783375,0.02539142423899621,0.050667281935645035,1751.0000200271606,0.04134396517973374,0.10312614211508175,0.07654203882524353,375.4000012874603
28,1.030536869268817e-05,0.001865046164185825,0.025398594942772038,0.049624310911699054,1751.0000257492065,0.04092929319593964,0.10262238128218794,0.07665097242608675,375.4000012874603
29,8.763798791745408e-06,0.0018911944151685461,0.024387209125273014,0.05052030741482605,1751.0000219345093,0.04103413677114751,0.10321703718186263,0.07696909554496678,375.4000012874603
30,7.32233047033631e-06,0.0015555461379997684,0.024373765032634578,0.05061058506888173,1751.0000200271606,0.04215149814999533,0.10433852937079062,0.07725128289026284,375.4000012874603
31,5.989850859999223e-06,0.00149995070834242,0.023514849064308806,0.049924852946308794,1751.000020980835,0.04166597651783377,0.10324423337234136,0.07722474699459013,375.4000012874603
32,4.774575140626314e-06,0.0014662432539422057,0.023494939630698153,0.049656670478422774,1751.0000324249268,0.04181479300582627,0.10350360892883294,0.07758637110415556,375.4000012874603
33,3.6839958911476936e-06,0.0015063981396464046,0.023195696218443168,0.0500452465049397,1751.0000171661377,0.0416088995823689,0.10402704406077916,0.07741788207941218,375.4000012874603
34,2.724836895290804e-06,0.0014965555552721652,0.023630828653499428,0.04901403725332376,1751.000023841858,0.04180061700774327,0.10287947794307933,0.07748881700484779,375.4000012874603
35,1.9030116872178306e-06,0.0019691795198079802,0.024387813256751708,0.04937601842618794,1751.000023841858,0.04136893369796766,0.10263281133556199,0.07731281769962264,375.4000012874603
36,1.223587092621161e-06,0.0016449864815321232,0.02380455777711588,0.04882549688751371,1751.0000247955322,0.04084237798662146,0.10265357627390977,0.07649194432876405,375.4000012874603
37,6.907519900580857e-07,0.0017410115548181428,0.024365928301976512,0.04852892409831794,1751.0000190734863,0.04165889538525029,0.10270764415523918,0.07729985154594762,375.4000012874603
38,3.0779148512155835e-07,0.0015369065921085508,0.024126785652208077,0.05067109602014082,1751.0000200271606,0.04151610422552922,0.10277112014264339,0.07736069337589553,375.4000012874603
39,7.706665667180087e-08,0.0015796829943531827,0.02368015128369608,0.05011295637088063,1750.9999995231628,0.04137689639631698,0.10269490967264075,0.07773300496024263,375.4000012874603
40,0.0,0.0023688929901246373,0.024751728966259472,0.04758874952200343,1751.0000162124634,0.04093146529613367,0.10232557260770161,0.07726101389626748,375.4000012874603
